latitude,longitude,bright_ti4
-14.66182,130.62289,338.1
-14.28708,130.71814,338.4
-14.19916,130.66341,333.3
-15.17796,131.20224,336.8
-12.95022,136.51772,339.5
-14.94791,131.82578,338
-15.02135,131.77063,334.9
-14.67408,130.65115,346.9
-15.02816,131.77608,336.5
-14.6423,130.58841,347.2
-14.74811,130.68884,340.4
-15.35566,130.75085,344.5
-15.35172,130.75029,339.7
-14.65904,130.64384,334.4
-15.15756,130.36612,339.1
-14.66692,130.64482,341.1
-15.4129,130.74324,341.9
-15.3997,130.75188,343.8
-15.37469,130.75883,341.7
-14.22837,130.68271,335.6
-15.24184,131.19156,336
-14.92516,131.79964,345.2
-14.93009,131.81857,338.5
-14.93378,131.81912,352.1
-15.2265,131.18939,347.2
-12.41673,136.57974,333.4
-12.17529,134.03984,350.5
-15.09775,130.57185,367
-12.06572,136.45982,332.8
-14.75272,134.86607,338.8
-15.43019,130.52014,346.5
-15.4455,130.52771,343.2
-15.07997,130.58408,349
-15.13281,130.39839,334.3
-15.09911,130.56152,338.8
-14.75203,130.68941,338.3
-14.27864,130.72197,333.5
-14.17075,130.63625,334
-14.17122,130.63382,354
-14.17512,130.63437,338.8
-15.46305,130.72067,339.8
-15.45508,130.71999,342.2
-15.44515,130.7347,346.4
-15.45587,130.72285,335
-15.10916,130.54677,335.8
-15.11453,130.5368,343.7
-15.4512,130.72762,341.1
-15.16755,130.35275,342.9
-15.44654,130.73235,342.3
-15.43333,130.74084,335
-14.64556,130.59418,352.8
-14.2714,135.03343,339.4
-14.26636,135.02167,367
-14.25099,135.05577,341.9
-14.18412,130.59694,339.6
-14.24982,135.04097,341.9
-14.23939,135.0649,349.8
-12.45158,136.31396,330.2
-14.30305,135.0867,339.1
-16.08388,125.99465,367
-15.14226,130.38882,337.6
-15.13471,130.41502,335.3
-12.32345,136.46408,344.8
-15.12809,130.40317,335
-15.45608,130.54012,337.7
-15.17605,131.19911,345.9
-14.69168,130.66902,337.9
-15.15121,131.18088,343.1
-14.17903,130.63492,337.8
-15.13661,131.14433,349.5
-14.19657,130.65286,349.3
-14.64609,130.62062,347.9
-14.65205,130.60587,330.7
-15.11284,130.48808,338.7
-14.19982,130.6584,341.8
-14.31323,130.67059,333.5
-14.69492,130.67462,344.9
-14.94054,131.82465,344.8
-14.94423,131.82523,347.2
-12.41637,136.33859,336.3
-14.95897,131.82739,351.6
-13.64415,130.58893,333.2
-12.64028,134.38374,331.6
-12.63082,134.37863,355.6
-12.98795,134.18002,334.9
-12.98621,134.16875,343.6
-12.97753,134.20404,340.2
-12.69706,134.02745,333.8
-12.94775,135.05128,334
-12.96644,134.30104,355.4
-12.89764,134.48709,344.3
-12.87939,134.49516,332
-13.09909,134.27457,331.3
-13.04633,134.19321,334
-12.50477,131.48447,367
-12.50051,131.48827,348.8
-12.49322,131.4872,340.3
-12.48411,131.4991,330.7
-12.48652,131.48181,352.6
-12.48167,131.48994,347.8
-12.36055,134.75941,346.2
-12.6561,134.43709,332.7
-12.65384,134.42946,350.5
-12.64866,134.39595,340.5
-12.58232,134.42924,339.6
-12.5806,134.41808,336.8
-12.57673,134.4211,340.2
-12.57447,134.4135,338.2
-12.68771,134.0443,339.4
-12.6893,134.03362,340.5
-12.49078,131.47801,352
-12.90549,134.50285,334.8
-12.93838,134.16869,340
-13.02286,134.25912,340
-13.01778,134.24738,353.9
-13.06526,134.47734,348.3
-13.03795,134.45488,334
-12.831,134.6431,339.7
-13.08842,134.25462,334.1
-12.49958,131.19742,346.8
-12.38875,135.0365,347.5
-11.93498,135.08621,339.2
-12.09532,134.74611,342.4
-12.7556,134.53334,332.5
-12.74681,134.52834,345.4
-12.09199,134.74559,349.2
-12.08588,134.74101,336.6
-12.49486,133.1561,337.6
-12.48467,133.15431,340.5
-14.71066,134.66808,346
-12.44632,133.1066,337.9
-12.44345,133.10239,367
-12.44507,133.09116,334.3
-14.29701,134.9315,348.2
-14.29368,134.93097,348.5
-14.29584,134.91669,348.8
-14.29143,134.92331,345.6
-14.31356,134.91217,367
-13.39464,132.05055,349.7
-13.3652,131.99927,336.7
-13.35743,132.00244,339.2
-13.34189,132.00883,336.3
-14.31463,134.90501,342.1
-14.31131,134.90448,352.3
-14.29926,134.93916,342.8
-14.29755,134.92793,367
-13.65123,134.32253,345.2
-13.76356,134.47592,348.8
-13.75074,134.47025,345.6
-12.98241,136.42392,341.1
-12.98193,136.40483,333.8
-12.63499,136.4352,331.7
-12.71438,136.37617,346.1
-13.31737,131.9633,344.4
-13.306,131.96591,338.8
-13.2994,131.96065,341.7
-13.28921,131.95483,348.1
-12.89879,134.59271,335.4
-12.43137,133.23369,338
-12.42511,133.22896,335.9
-13.23117,131.91693,347.1
-13.22816,131.9122,334
-14.01878,131.59572,343.9
-14.01144,131.51262,345.2
-14.02691,131.51019,342.7
-13.82208,134.40424,343.4
-13.43735,132.06892,345.5
-13.43376,132.06839,339.8
-13.43587,132.06926,343.3
-13.42811,132.07239,347.3
-13.82369,134.39345,351.3
-13.8154,134.4032,337.7
-12.5385,131.18938,335.5
-14.03684,131.49319,332.9
-12.49466,131.20578,341
-14.0311,131.58839,347.1
-13.98632,131.24966,335.7
-12.42241,134.8605,334.8
-13.10246,134.18349,346.2
-13.07733,134.16862,349.9
-12.45022,130.74377,332.5
-12.854,136.15431,335.6
-12.76673,136.15448,351.3
-14.16383,130.04968,346.5
-14.16121,130.03801,367
-14.15668,130.04114,342.1
-13.12371,134.20143,339
-13.11756,134.19681,367
-12.90576,134.21422,350.2
-12.89468,134.2198,347.1
-12.94162,134.62485,330.9
-12.96821,134.51628,343.9
-12.96981,134.50562,331
-12.84369,134.24109,331.7
-12.74384,134.59319,348.1
-12.80663,134.4431,334.1
-12.77879,134.42424,336.3
-12.51998,131.2139,342.4
-12.44667,131.18645,340.6
-12.42753,131.18826,356
-12.42505,131.17888,347.1
-12.42196,131.1739,352.5
-14.38521,133.29489,337
-12.14635,135.56184,342.2
-12.94644,135.96037,346.6
-12.94308,135.95984,333.4
-14.72505,126.74969,338.5
-14.71558,126.74232,347.2
-14.69447,126.74596,367
-14.69553,126.73679,339.2
-14.69043,126.73611,336.6
-14.6915,126.72688,352.8
-14.68675,126.72315,335.5
-14.67334,126.74989,367
-14.67584,126.72805,367
-14.67548,126.73116,342.4
-14.66856,126.74651,367
-14.67073,126.72744,339.4
-12.27138,135.47594,332.1
-12.26749,135.47897,336.9
-12.26914,135.46826,334.3
-12.26525,135.4713,344.6
-12.26136,135.47433,367
-12.25802,135.4738,332.9
-12.25743,135.45543,356.1
-12.2541,135.4549,340.1
-12.68437,134.04378,342.2
-12.47759,135.88315,343.6
-12.60804,133.66664,338.5
-14.6431,126.92882,344
-12.5845,134.07909,335.3
-12.5861,134.06837,352.4
-12.58276,134.06786,338.8
-12.57942,134.06734,336.8
-14.67425,126.78692,342.1
-13.05154,132.91956,335.8
-13.04626,132.90729,339.4
-12.84259,132.89664,349.2
-12.83568,132.89574,342
-12.83334,132.88759,334.6
-12.82646,132.88651,340.9
-14.72763,126.77161,338.1
-14.7229,126.76796,367
-14.72217,126.7741,343.5
-14.69563,126.78034,335.8
-14.6934,126.75518,367
-14.6909,126.77669,355.3
-14.69268,126.76131,337.9
-13.00244,132.96753,344.6
-12.98868,132.96545,348.6
-13.04243,132.93385,347.3
-13.03096,132.94023,333.4
-13.02861,132.9321,349.5
-14.65722,126.89027,340.8
-13.11873,132.90665,332.3
-12.88515,132.91843,352
-12.87315,132.92836,347.7
-12.73596,132.46483,344.8
-12.73204,132.46431,335.1
-15.20466,131.32343,345.8
-15.34384,130.74913,338.7
-15.09695,131.08908,350.9
-15.0963,131.06418,331.5
-15.08795,131.06795,341.1
-12.7241,133.89198,331.5
-12.71914,133.90228,332.3
-12.71579,133.90178,335.6
-12.70466,133.90744,335.3
-12.69796,133.9064,344.9
-12.75286,133.7448,336
-13.03024,133.89575,334.2
-12.78516,133.88356,339.4
-12.78341,133.87221,301.8
-12.77952,133.87531,351.8
-12.77777,133.86394,367
-12.77442,133.86343,334.2
-12.75152,133.70746,332.6
-12.74924,133.69969,344.7
-12.83158,133.89433,351
-12.82876,133.89021,343.9
-12.80863,133.88718,333.4
-12.80581,133.88306,353.5
-12.79469,133.88875,336.9
-12.78798,133.88771,352
-12.7857,133.87996,344.6
-12.69126,133.90536,346.2
-12.19293,135.5184,339.3
-13.76718,143.0782,332.4
-13.04474,131.03159,335.9
-14.16111,130.61937,349.7
-13.62412,130.88826,338.3
-15.50519,130.58232,351.5
-13.16702,141.96945,343.4
-13.23204,135.72656,343.3
-12.31413,134.90788,334.1
-13.22034,135.7357,342.7
-13.25448,142.5569,350.3
-13.04725,131.03825,343.5
-16.07534,125.92104,346
-16.07769,125.89943,208
-16.16644,126.00208,351.9
-15.22234,130.24817,367
-11.83454,142.18578,340.1
-13.80103,143.07088,337.1
-13.5833,141.72287,330.6
-15.4813,130.4502,367
-15.21232,130.26186,344.6
-14.15858,130.60864,350
-13.27546,135.68939,333.6
-12.97937,136.00266,339.9
-15.49556,130.65656,350.3
-15.5009,130.64659,350
-13.51935,141.62856,342.4
-15.49624,130.65129,353
-13.26014,142.55261,340.1
-12.31692,134.91194,345.5
-12.27036,134.90465,350.1
-12.97037,136.01608,331.1
